Player,Team,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Leonard Fournette,TB,194.0,815.0,5.0,39.0,285.0,0.0,,140.0
Wayne Gallman,NYG,29.0,86.0,0.0,2.0,15.0,0.0,,10.1
Frank Gore,NYJ,74.0,275.0,2.0,8.0,46.0,0.0,,44.1
Latavius Murray,NO,120.0,515.0,4.0,27.0,179.0,1.0,,99.4
Melvin Gordon III,DEN,212.0,846.0,6.0,39.0,288.0,1.0,,155.4
David Johnson,HOU,214.0,854.0,5.0,47.0,399.0,3.0,,173.3
Nick Chubb,CLE,297.0,"1,189.0",8.0,29.0,211.0,1.0,,194.0
Justin Jackson,LAC,111.0,465.0,3.0,12.0,79.0,0.0,,72.4
Tony Pollard,DAL,83.0,349.0,2.0,23.0,166.0,1.0,,69.5
D'Ernest Johnson,CLE,22.0,88.0,0.0,3.0,22.0,0.0,,11.0
Khari Blasingame,TEN,24.0,85.0,0.0,4.0,29.0,0.0,,11.4
J.K. Dobbins,BAL,146.0,655.0,5.0,17.0,129.0,0.0,,108.4
Ronald Jones II,TB,120.0,515.0,3.0,24.0,186.0,1.0,,94.1
Duke Johnson Jr.,HOU,94.0,387.0,2.0,43.0,386.0,3.0,,107.3
Matt Breida,MIA,138.0,606.0,3.0,36.0,245.0,2.0,,115.1
Trayveon Williams,CIN,25.0,99.0,0.0,3.0,23.0,0.0,,12.2
LeSean McCoy,TB,37.0,146.0,1.0,10.0,74.0,0.0,,28.0
Kerryon Johnson,DET,122.0,526.0,3.0,28.0,221.0,1.0,,98.7
Jalen Richard,LV,52.0,209.0,1.0,37.0,305.0,1.0,,63.4
Jonathan Taylor,IND,186.0,837.0,7.0,20.0,135.0,1.0,,145.2
Jaylen Samuels,PIT,46.0,173.0,1.0,22.0,158.0,0.0,,39.1
Darrynton Evans,TEN,74.0,320.0,2.0,27.0,213.0,1.0,,71.3
James Robinson,JAC,83.0,325.0,2.0,12.0,88.0,0.0,,53.3
