Rank,Player,Team,Opp,Position,Att,Comp,Pass Yds,Pass TDs,0-9 PassTDs,10-19 PassTDs,20-29 PassTDs,30-39 PassTDs,40-49 PassTDs,50+ PassTDs,Int,Sacked,Rush,Rush Yds,Rush TDs,Fum Lost,Scoring Opps,Pts
1,"Mahomes, Patrick",KCC,@DEN,QB,35.9,23.3,286.0,2.3,1.1,0.5,0.2,0.0,0.2,0.2,0.3,1.5,4.8,23.0,0.3,0.1,4.2,27.2
2,"Wilson, Russell",SEA,@ARI,QB,28.3,19.1,257.0,2.3,1.0,0.7,0.2,0.2,0.1,0.2,0.4,3.3,5.4,31.0,0.1,0.1,4.0,25.0
3,"Watson, Deshaun",HOU,GBP,QB,32.5,21.9,265.0,1.7,0.5,0.6,0.3,0.1,0.1,0.1,0.7,3.6,5.7,30.0,0.4,0.1,4.0,24.7
4,"Murray, Kyler",ARI,SEA,QB,35.0,22.5,244.0,1.5,0.8,0.2,0.2,0.1,0.0,0.2,0.8,2.1,6.5,39.0,0.6,0.2,4.0,24.5
5,"Allen, Josh",BUF,@NYJ,QB,31.1,19.0,221.0,1.7,0.9,0.3,0.3,0.1,0.1,0.1,0.7,2.0,7.0,37.0,0.5,0.4,3.3,23.1
6,"Ryan, Matt",ATL,DET,QB,40.3,26.4,298.0,1.8,0.8,0.4,0.2,0.2,0.2,0.1,0.6,2.5,2.3,7.0,0.0,0.2,3.0,22.2
7,"Stafford, Matthew",DET,@ATL,QB,39.8,24.9,289.0,1.8,0.9,0.5,0.2,0.1,0.1,0.1,0.6,2.2,2.2,8.0,0.0,0.1,4.6,22.0
8,"Rodgers, Aaron",GBP,@HOU,QB,34.9,23.6,267.0,1.8,0.8,0.5,0.3,0.1,0.1,0.1,0.4,2.3,2.6,12.0,0.1,0.1,3.4,21.7
9,"Herbert, Justin",LAC,JAC,QB,33.0,22.0,270.0,1.8,0.5,0.7,0.0,0.1,0.1,0.5,0.8,2.1,2.7,8.0,0.1,0.2,3.3,21.1
10,"Tannehill, Ryan",TEN,PIT,QB,26.7,18.0,215.0,1.9,1.1,0.4,0.2,0.0,0.1,0.1,0.5,2.2,3.5,16.0,0.2,0.2,2.8,20.5
11,"Roethlisberger, Ben",PIT,@TEN,QB,33.0,22.3,245.0,2.0,0.5,0.5,0.5,0.2,0.1,0.2,0.6,1.6,2.6,3.0,0.1,0.0,3.1,20.4
12,"Newton, Cam",NEP,SFO,QB,29.3,18.6,202.0,0.8,0.3,0.3,0.1,0.1,0.0,0.0,0.9,2.2,7.3,34.0,0.6,0.1,2.4,19.5
13,"Minshew II, Gardner",JAC,@LAC,QB,33.0,22.0,240.0,1.6,0.6,0.7,0.1,0.1,0.0,0.0,0.6,2.5,3.9,20.0,0.1,0.5,3.6,19.4
14,"Brady, Tom",TBB,@LVR,QB,34.0,23.0,244.0,1.8,1.0,0.4,0.3,0.1,0.0,0.0,0.7,1.5,2.1,3.0,0.1,0.2,3.4,19.4
15,"Brees, Drew",NOS,CAR,QB,31.0,20.9,240.0,1.7,0.7,0.4,0.3,0.1,0.1,0.1,0.6,1.7,1.7,0.0,0.1,0.1,3.1,18.9
16,"Wentz, Carson",PHI,NYG,QB,32.4,20.1,209.0,1.3,0.7,0.2,0.2,0.1,0.1,0.0,1.0,3.3,4.5,21.0,0.3,0.4,3.0,18.4
17,"Dalton, Andy",DAL,@WAS,QB,34.0,22.0,240.0,1.3,0.4,0.2,0.2,0.1,0.4,0.1,1.2,2.4,2.7,13.0,0.2,0.3,3.8,18.2
18,"Burrow, Joe",CIN,CLE,QB,37.1,23.3,243.0,1.0,0.7,0.1,0.1,0.0,0.0,0.0,0.7,3.3,3.8,13.0,0.3,0.3,2.7,17.9
19,"Lock, Drew",DEN,KCC,QB,28.5,19.2,241.0,1.2,0.7,0.2,0.2,0.0,0.1,0.0,0.9,1.9,3.2,15.0,0.0,0.2,2.4,17.2
20,"Goff, Jared",LAR,CHI,QB,29.7,20.0,240.0,1.2,0.5,0.4,0.2,0.0,0.1,0.1,1.1,1.5,3.1,5.0,0.2,0.2,2.5,17.2
