Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,FL,FPts
Aaron Rodgers,GB,,,4095,31.6,9.8,,281,2,,310.7
Alex Smith,WAS,,,3860,22.4,9.4,,235,1.3,,256.5
Andrew Luck,IND,,,3861,24.2,14.1,,254,1.6,,258
Andy Dalton,CIN,,,3717,23.2,14.1,,112,1.5,,235.3
Baker Mayfield,CLE,,,1105,5.3,4.2,,62,0.6,,66.8
Ben Roethlisberger,PIT,,,4230,27.4,14.6,,59,0.4,,257.9
Blaine Gabbert,TEN,,,148,0.8,0.5,,10,0.1,,9.7
Blake Bortles,JAC,,,3588,21.7,14.1,,310,1.8,,243.9
Brandon Weeden,HOU,,,111,0.7,0.6,,3,0,,6.3
Brett Hundley,SEA,,,84,0.4,0.4,,9,0,,5.1
Brian Hoyer,NE,,,49,0.2,0.2,,1,0,,2.5
Brock Osweiler,MIA,,,215,1.2,1.2,,4,0,,11.4
Cam Newton,CAR,,,3536,23.4,15.4,,609,5.1,,295.7
Carson Wentz,PHI,,,3669,26.7,10.5,,193,1.4,,260.3
Case Keenum,DEN,,,3775,21,12.8,,125,0.8,,226.7
Chad Henne,KC,,,82,0.3,0.3,,1,0,,4
Chad Kelly,DEN,,,192,0.8,0.8,,4,0.1,,10.3
Chase Daniel,CHI,,,41,0.2,0.2,,1,0,,2.1
C.J. Beathard,SF,,,71,0.4,0.4,,6,0.1,,4.8
Cody Kessler,JAC,,,84,0.5,0.4,,4,0,,5
Colt McCoy,WAS,,,108,0.6,0.3,,3,0,,6.4
Cooper Rush,DAL,,,42,0.2,0.2,,3,0,,2.4
Dak Prescott,DAL,,,3474,21.4,13.3,,309,4.1,,253.5
Derek Carr,OAK,,,,,,,,,,
Deshaun Watson,HOU,,,3832,25.1,16.7,,386,3.2,,278.1
DeShone Kizer,GB,,,87,0.5,0.4,,11,0.1,,6.4
Drew Brees,NO,,,4424,27.8,11.8,,34,1.2,,275.2
Eli Manning,NYG,,,3875,23.3,14.5,,11,0.5,,223.3
Geno Smith,LAC,,,41,0.2,0.2,,3,0,,2.3
Jacoby Brissett,IND,,,172,1,0.7,,16,0.1,,11.7
Jameis Winston,TB,,,3429,19.4,11.9,,133,1.1,,210.9
Jared Goff,LAR,,,4029,26.7,11.9,,66,1.1,,256.8
Jimmy Garoppolo,SF,,,4302,23.7,13.9,,96,1.5,,257.7
Joe Flacco,BAL,,,3393,20.1,13.8,,62,1.15,,201.3
Josh Allen,BUF,,,2730,16,15.6,,174,1.9,,170.8
Josh McCown,NYJ,,,472,2.6,1.9,,17,0.2,,28.4
Josh Rosen,ARI,,,1635,8.9,6.3,,47,0.5,,96.1
Kirk Cousins,MIN,,,4068,24.8,13.1,,123,2.2,,261.2
Kyle Lauletta,NYG,,,,,,,,,,
Lamar Jackson,BAL,,,324,2.1,1.4,,53,0.7,,28.1
Marcus Mariota,TEN,,,3596,21.4,14.9,,333,3,,250.9
Mason Rudolph,PIT,,,226,1.4,1.2,,3,0,,12.5
Matt Barkley,CIN,,,55,0.2,0.3,,1,0,,2.5
Matt Cassel,DET,,,91,0.5,0.4,,12,0,,6
Matthew Stafford,DET,,,4111,25.6,11.5,,116,0.9,,260.8
Matt Ryan,ATL,,,4174,25.2,12.3,,109,0.4,,256.5
Matt Schaub,ATL,,,57,0.2,0.2,,2,0,,2.9
Mitch Trubisky,CHI,,,3536,20,14,,246,2,,230
Nathan Peterman,BUF,,,600,4.1,4.3,,7,0.1,,33.1
Nick Foles,PHI,,,365,2.7,1.3,,9,0,,23.7
Patrick Mahomes,KC,,,3920,23.6,14.5,,226,2.1,,257.4
Philip Rivers,LAC,,,4377,27.5,13.9,,31,0.2,,261.6
Robert Griffin,BAL,,,,,,,,,,
Russell Wilson,SEA,,,3775,25.5,12.1,,507,2.7,,295.7
Ryan Fitzpatrick,TB,,,780,4.5,1.6,,52,0.4,,53.6
Ryan Griffin,HOU,,,72,0.4,0.3,,2,0,,4.1
Ryan Tannehill,MIA,,,3683,21.4,14.1,,138,0.9,,223.9
Sam Bradford,ARI,,,2370,12.4,6.9,,39,0.2,,135.7
Sam Darnold,NYJ,,,3241,18.1,14.1,,137,1,,193.5
Sean Mannion,LAR,,,47,0.2,0.2,,2,0,,2.5
Taylor Heinicke,CAR,,,40,0.2,0,,0,0,,2.4
Teddy Bridgewater,NO,,,42,0.2,0.1,,2,0,,2.5
Tom Brady,NE,,,4503,31,9.2,,42,0.8,,294.7
Trevor Siemian,MIN,,,40,0.2,0.2,,2,0,,2.2
Tyrod Taylor,CLE,,,2749,15.2,7.5,,308,2.9,,204
