Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,FL,FPts
Aaron Rodgers,GB,612.2,380.7,4621,37.7,7.6,56.5,322.4,3,,365.4
AJ McCarron,OAK,28.5,16,175,0.9,1,2.2,7.1,0.1,,9.5
Alex Smith,WAS,525.2,330.2,3864.3,25.3,11.1,52,217.4,2,,262.2
Andrew Luck,IND,573,354.5,3956.5,27.9,16.1,65.3,281.2,2.3,,272
Andy Dalton,CIN,583,342.6,3833,25.9,15.9,36.7,140.6,0.8,,233.7
Baker Mayfield,CLE,67.1,40.2,460.4,2.5,1.7,9.2,33.9,0.3,,29.6
Ben Roethlisberger,PIT,584,379.6,4502,29.7,14,20,69.3,1.2,,282
Blaine Gabbert,TEN,28.2,14.6,150.3,0.6,1.2,1.7,6.4,0,,6.2
Blake Bortles,JAC,501.5,309.5,3551.5,22.1,12.8,54.3,279,3.5,,251.8
Brandon Weeden,HOU,30.9,18.7,213.7,1.1,0.8,2.5,10.1,0.1,,12.4
Brett Hundley,SEA,28.3,15.7,175.2,0.9,1,3.8,19.6,0.1,,10.5
Brian Hoyer,NE,27.7,16.6,199.4,1.2,0.8,2.6,8.4,0,,12
Brock Osweiler,MIA,0,0,0,0,0,0,0,0,,0
Cam Newton,CAR,491.8,283.2,3314.1,21.7,12.1,119.8,742.2,5.5,,297.8
Carson Wentz,PHI,483.6,300.4,3653.5,25.4,9.2,64.4,287.5,2.8,,271.1
Case Keenum,DEN,542.5,333.3,3613.4,19.6,12.4,42,185.9,1.7,,221.4
Chad Henne,KC,25.3,14.1,155.5,0.7,0.8,2.4,6.6,0.1,,8.4
Chase Daniel,CHI,29,17.9,205.2,1.2,0.7,2,3.6,0,,12
C.J. Beathard,SF,37.9,21.2,232.3,1.2,1.1,2.9,14.2,0.1,,13.2
Cody Kessler,JAC,27.2,15,161.9,0.9,0.9,2.3,7.3,0,,8.8
Colt McCoy,WAS,30,18.3,209.9,1.1,0.8,2.2,6.7,0.1,,11.9
Cooper Rush,DAL,29.2,16.1,176.6,1,0.9,3.6,20.8,0.2,,11.8
Dak Prescott,DAL,512.6,312.3,3484,20.4,12.5,67.2,396,5,,263.7
Derek Carr,OAK,578.1,341.7,3872.7,26.8,15.1,24.9,47.6,0.5,,232.7
Deshaun Watson,HOU,541.9,327.2,3857.4,30.7,14.3,63.1,376.7,3.6,,301.6
DeShone Kizer,GB,32.8,18.1,211.8,1,0.8,6.6,36.5,0.2,,15.3
Drew Brees,NO,579.3,382.7,4724.6,34.6,13,44.4,159.6,2.8,,333.1
Eli Manning,NYG,609,357.4,3845.9,27.4,15.3,11.2,23.6,0.3,,230.1
Geno Smith,LAC,18.9,9.4,105.4,0.5,0.7,1.8,3.8,0,,5
Jacoby Brissett,IND,66.6,37.8,441.6,2.4,2.1,9.2,42.9,0.2,,26.8
Jameis Winston,TB,467.4,298.5,3421,21.5,12.6,28.1,131.2,1.4,,214.8
Jared Goff,LAR,567.3,335.7,3971.4,31.4,12.5,33.4,59.5,1.05,,265.6
Jimmy Garoppolo,SF,563.9,361.1,4298.8,26.2,14,48.1,201.8,1.5,,273.7
Joe Flacco,BAL,594.1,348.3,3718.9,19.9,16.3,21.8,64.8,1,,201.5
Josh Allen,BUF,29.9,18.1,210.5,1.1,0.8,2.7,11.5,0.1,,12.4
Josh McCown,NYJ,37.1,22.8,258.4,1.3,1,3,10.7,0.2,,15.1
Josh Rosen,ARI,64.3,38.8,434.8,2.1,1.5,4.3,13.3,0,,23.8
Kirk Cousins,MIN,548.9,341,4246.7,27.6,14.2,51.4,184.4,2.4,,280.9
Kyle Lauletta,NYG,0,0,,,,0,,,,
Lamar Jackson,BAL,64,38.8,439.7,2.3,1.6,13.9,65.8,0.5,,32.2
Marcus Mariota,TEN,526.1,321.5,3764.9,21.9,12.3,67.5,326.7,4.8,,268.6
Matt Cassel,DET,18.3,9,89.6,0.3,0.9,2,6,0,,3.3
Matthew Stafford,DET,586.9,382.2,4537.6,28.5,14.3,39.9,156.7,1.2,,281.1
Matt Ryan,ATL,550.6,364.8,4283.4,27.8,11.3,37.3,98,1.6,,275.4
Matt Schaub,ATL,18,10.8,128.3,0.8,0.7,2,3.5,0,,7.1
Mitch Trubisky,CHI,536.3,303.9,3434.4,20.6,13.4,61.3,297.7,1.8,,227.9
Nathan Peterman,BUF,500.2,292.6,3280.9,18.7,14.1,43.9,135.7,1.7,,191.8
Nick Foles,PHI,62,34.9,406.2,2.7,1.4,4.6,7.8,0,,24.7
Patrick Mahomes,KC,568.3,361.6,3645.8,25.4,15,71.7,257.6,2.5,,252.6
Philip Rivers,LAC,555.8,361.2,4358.5,29.8,12.5,25.5,38.5,0.3,,269.1
Robert Griffin,BAL,0,0,0,0,0,0,0,0,,0
Russell Wilson,SEA,564.6,343.8,4108.6,28,10.7,95.3,575.5,3.6,,330.3
Ryan Fitzpatrick,TB,138.4,86.1,978.2,4.8,3.8,10.9,39.2,0.6,,57
Ryan Tannehill,MIA,560.4,344.5,3781.9,19.4,13.1,47.8,190.9,2.2,,229
Sam Bradford,ARI,524.4,335.2,3889.5,22.3,12.5,17.2,54.1,0.4,,219.1
Sam Darnold,NYJ,525.3,323.4,3616.6,19.1,14.7,58.2,239.9,1.9,,220.6
Sean Mannion,LAR,16.3,8.2,78.3,0.3,0.7,2.7,12.9,0,,4.3
Taylor Heinicke,CAR,0,0,0,0,0,0,0,0,,0
Teddy Bridgewater,NO,22.7,12.7,138.3,0.6,0.8,2.4,6.2,0.1,,7.3
Tom Brady,NE,614.5,415.7,4943.7,40,9.7,25.7,21.5,0.4,,339.5
Trevor Siemian,MIN,32.8,19,218.9,1.2,1,3.6,14.1,0.1,,13
Tyrod Taylor,CLE,454.2,258,2767.1,16.8,7,74.5,435.9,3.9,,225.5
Alex Tanney,NYG,0,0,0,0,0,0,0,0,,0
Cardale Jones,LAC,0,0,0,0,0,0,0,0,,0
David Fales,MIA,33.1,19.2,212.4,1.1,1.2,2.7,10.6,0,,11.5
Drew Stanton,CLE,0,0,0,0,0,0,0,0,,0
Joe Webb,HOU,0,0,0,0,0,0,0,0,,0
Kevin Hogan,DEN,0,0,0,0,0,0,0,0,,0
Mike Glennon,ARI,34.1,21.4,233.5,1.5,1.2,1.7,2.1,0.1,,12.8
Nate Sudfeld,PHI,0,0,0,0,0,0,0,0,,0
Taysom Hill,NO,0,0,0,0,0,0,0,0,,0
