Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,FL,FPts
Aaron Rodgers,GB,600,391,3858,32,10,56,324,1.8,3.1,305.5
AJ McCarron,OAK,0,0,4,0,0,0,0,0,0,0.2
Alex Smith,WAS,560,365,4269,24,10,62,244,1.9,5.7,282.6
Andrew Luck,IND,586,368,4201,26,16,66,344,1.9,3.3,285.8
Andy Dalton,CIN,518,309,3396,21,15,39,116,1,4.3,207.4
Austin Davis,SEA,0,0,2,0,0,0,0,0,0,0.1
Baker Mayfield,CLE,228,131,1426,7,6,11,49,0.4,1.5,80.3
Ben Roethlisberger,PIT,629,394,4585,28,17,30,53,0.3,2.9,268.5
Blaine Gabbert,TEN,,,,,,,,,,
Blake Bortles,JAC,533,306,3557,22,14,64,391,1.8,4,252.2
Brandon Weeden,HOU,,,,,,,,,,
Brett Hundley,SEA,,,,,,,,,,
Brian Hoyer,NE,4,2,25,0,0,0,0,0,0,1
Brock Osweiler,MIA,5,3,32,0,0,0,1,0,0,1.4
Cam Newton,CAR,525,299,3410,24,18,112,581,4.4,2.2,280.9
Carson Wentz,PHI,533,322,3715,29,12,65,277,0.7,4,272.5
Case Keenum,DEN,600,368,4085,22,14,19,80,0.4,5.1,233.8
Chad Henne,KC,0,0,1,0,0,0,0,0,0,0
Chase Daniel,CHI,0,0,2,0,0,0,0,0,0,0.1
C.J. Beathard,SF,5,3,38,0,0,1,4,0.1,0,2.5
Cody Kessler,JAC,2,2,18,0,0,0,0,0,0,0.7
Colt McCoy,WAS,0,0,2,0,0,0,0,0,0,0.1
Cooper Rush,DAL,0,0,2,0,0,0,0,0,0,0.1
Dak Prescott,DAL,495,310,3386,23,14,57,332,4.6,4,260.2
Derek Carr,OAK,563,347,3755,23,14,28,67,0.3,4.3,222.7
Deshaun Watson,HOU,561,335,3992,27,20,76,526,5.3,3.9,312.1
DeShone Kizer,GB,6,4,35,0,0,1,3,0,0,1.7
Drew Brees,NO,582,414,4522,26,12,31,38,1.5,2.7,273.7
Eli Manning,NYG,689,431,4217,24,16,14,29,1.3,4.5,243.4
Geno Smith,LAC,2,1,11,0,0,0,1,0,0,0.5
Jacoby Brissett,IND,5,3,38,0,0,0,2,0,0,1.7
Jameis Winston,TB,493,307,3587,17,14,36,132,1.2,4,203.9
Jared Goff,LAR,530,318,3863,27,12,27,48,1.2,4.1,250.5
Jimmy Garoppolo,SF,615,395,4599,23,11,34,35,1.75,3.1,269.5
Joe Flacco,BAL,566,357,3119,21,16,25,57,1.2,1.7,189.7
Josh Allen,BUF,324,185,1891,10,9,13,58,0.3,1.6,105.2
Josh McCown,NYJ,8,5,52,0,0,0,2,0.1,0.1,2.3
Josh Rosen,ARI,323,202,2272,10,9,19,76,0.5,1.7,123.5
Kirk Cousins,MIN,561,378,3971,24,13,55,193,4.4,3.8,274.5
Kyle Lauletta,NYG,0,0,2,0,0,0,0,0,0,0.1
Lamar Jackson,BAL,11,7,61,0,0,23,153,1.1,2.2,24.3
Marcus Mariota,TEN,508,306,3410,22,18,66,366,3.2,3.4,244.2
Mason Rudolph,PIT,0,0,2,0,0,0,0,0,0,0.1
Matt Cassel,DET,3,2,16,0,0,0,0,0,0,0.6
Matthew Stafford,DET,602,394,4286,25,14,33,143,0.6,4.4,261.3
Matt Ryan,ATL,548,356,4164,24,13,35,127,0.4,3,251.7
Matt Schaub,ATL,0,0,2,0,0,0,0,0,0,0.1
Mitch Trubisky,CHI,538,333,3648,17,14,50,293,2.5,4.1,230.2
Nathan Peterman,BUF,177,100,966,5,6,11,37,0.2,0.8,51.5
Nick Foles,PHI,39,26,264,2.35,0,2,5,0,0.3,19.1
Patrick Mahomes,KC,538,349,3862,26,13,43,165,1.1,1.8,255.6
Philip Rivers,LAC,591,354,4300,25,16,17,31,0.2,3,244.3
Robert Griffin,BAL,2,1,11,0,0,1,3,0,0,0.7
Russell Wilson,SEA,560,340,3791,25,18,91,532,3.7,3.3,291
Ryan Fitzpatrick,TB,107,60,699,3,4,7,32,0.1,0.6,35.8
Ryan Griffin,HOU,5,3,33,0,0,0,1,0,0,1.4
Ryan Tannehill,MIA,598,381,3884,22,20,46,173,0.7,3.8,224.9
Sam Bradford,ARI,295,178,2007,10,9,10,24,0.2,1.7,105.9
Sam Darnold,NYJ,511,313,3247,18,17,26,99,0.7,3.5,182
Sean Mannion,LAR,,,,,,,,,,
Tanner Lee,JAC,0,0,2,0,0,0,0,0,0,0.1
Taylor Heinicke,CAR,0,0,2,0,0,0,0,0,0,0.1
Teddy Bridgewater,NO,0,0,2,0,0,0,0,0,0,0.1
Tom Brady,NE,617,396,4651,31,10,30,41,0.3,3.1,295.9
Trevor Siemian,MIN,5,4,36,0,0,0,2,0,0,1.6
Tyrod Taylor,CLE,437,262,2859,14,11,47,271,2.2,3.7,188.7
